,,银行,额度,卡种,年费,年费时间,年费备注,增值服务（可变现）,增值服务（不可变现）,备注
,,,,,,,,,,
1,A0,工商,100000,香白,,,,接送机*2  吃饭龙腾*10,,闲鱼1500分500元
3,A5,光大,58700,孝心标准,,,1188/次年可抵,接送机*2    ,龙腾*5  洁牙*2  就医*8,
5,A10,中国,75000,南航,,,,,,
6,A12,中信,10000,万豪白,980,,,1.25w房券/625r ,龙腾*4 挂号*3 ,1w/月 万豪餐饮8折住宿9折 10保级房晚 金卡
7,A15,广农,30000,全飞白,,,,,,
8,A16,招商,80000,鸟白,,,,体检 生日10倍1w分（1w分=2w万豪分=1000元）,酒店*6 洁牙 高尔夫 PP 运通 FHR,积分1:2换万豪 最高7.5w/年 实际比10:1 延误险（赔里程票，需付款）
9,A17,广发,84000,尊旅/万事达,,,,,,
,A20,浙商,20000,红利卡,,,,,,
10,A22,广州,50000,南航白（非银联商务机无分）,200,,,,,月<额度80%，单笔<1w含双倍
11,A24,农业,50000,精粹白+南航金,,,,,就医*3,精粹各10w，南航金无上限
12,A27,建设,80000,国航/大山/MUSE,1800,2025.3,,接送机*3 酒店*2 代驾*6 ,就医*N  PP*5  延误险,
13,A28,平安,40000,Safari（50000）,,,1800 40w分免次,接送机*6  吃饭龙腾*6,酒店*2,
,#8,花呗,77500,花呗（77500）,,,,,,
3,B13,招商,60000,海贼王,,,,,,
2,B16,民生,100000,南航豪白,2880,,,1800积点,,
,B18,广农,40000,全飞白（100000）,,,,,,
5,B19,浦发,45000,美丽女人,,,,,,
6,B20,农行,20000,PLMM,,,,,,
7,B21,平安,60000,标准白+Safari,,,1400刷12w免次,接送机*6  吃饭龙腾*6,酒店*2,
8,             B23      ,交通,36000,怡然白,,,,,龙腾*3,
9,B25,广州,52000,南航白（非银联商务机无分）,200,,,,,
10,B26,广发,50000,南航白,800,,,,,6w里程，延误险
,,汇总,1218200,,6860,,,,,
,,,,,,,,0.35->4.2,,